Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
FC Nordsjælland,3.0,3.0,0.0,0.0,9.0,2.0,7.0,9.0,3.0,3.0,0.6666666666666666,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0
Hjørring,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,6.0,6.0,3.0,3.0,0.0
Odense Q,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,2.0,1.0,6.0,2.0,1.0,0.6666666666666666
KoldingQ,2.0,1.0,1.0,0.0,4.0,3.0,1.0,4.0,2.0,2.0,1.5,1.0,0.0,0.0,1.0,0.0,4.0,-4.0,0.0,0.0,0.0,4.0
Brøndby,2.0,1.0,0.0,1.0,1.0,3.0,-2.0,3.0,1.5,0.5,1.5,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0,0.5,1.0,1.5
HB Køge,2.0,0.0,0.0,2.0,1.0,3.0,-2.0,0.0,0.0,0.5,1.5,2.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,1.5,1.5,0.5
Aarhus GF,2.0,0.0,0.0,2.0,0.0,5.0,-5.0,0.0,0.0,0.0,2.5,2.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,1.5,1.0,1.0
B93 København,2.0,0.0,0.0,2.0,0.0,4.0,-4.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,-2.0,1.0,0.5,1.0,2.0
